 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"350010 Adamantina";192360,05;354705,63;328813,91;304813,18;338170,45;289183,19;337464,14;322095,39;314139,45;326193,29;316775,10;324905,76;377614,53;306238,75;367554,84;367480,42;362219,11;360931,24;381434,74;354031,62;332988,65;354006,07;374938,81;409224,87;394211,30;389293,87;401911,42;430677,67;396744,48;421923,97;404617,14;383825,35;459051,25;440043,78;381655,51;391011,53;388054,51;353192,55;427441,01;426387,77;417661,47;410958,51;428510,12;421036,25;406907,88;388421,91;383899,62;389114,05;397237,51;352033,43;416287,30;387267,07;393340,39;403748,52;423637,63;424257,07;396174,69;418109,68;377652,85;410368,41;410417,74;394324,15;385556,55;435852,57;416015,01;411744,41;425352,40;483555,49;445189,36;394494,12;427904,04;430551,84;424841,86;424273,86;414816,74;406360,98;413729,41;433246,45;395732,78;438033,38;427764,00;426635,80;377926,11;389108,91;385624,85;354389,62;396159,10;468574,29;412863,45;411981,75;420297,83;382172,27;368301,79;436556,93;351451,39;374610,70;426142,57;384534,68;427767,19;393735,27;455530,00;384241,29;442876,81;395076,50;446981,68;420203,84;389163,24;388942,45;428697,36;368441,34;450682,49;403259,17;421355,70;398594,34;427631,69;403840,72;407586,63;429801,34;428400,67;383848,20;403775,45;349167,18;483656,37;439990,01;494333,59;400413,55;432678,33;507709,06;566008,50;478540,61;470382,51;478450,82;511584,39;478665,02;498908,52;498363,68;525914,07;488216,46;516266,98;516115,79;506570,02;558281,57;546975,79;496200,13;513078,58;510654,16;520324,39;345202,64;317002,39;369635,06;462097,32;369537,60;360475,15;384605,32;435666,15;464135,09;489345,75;617095,28;843298,96;65988020,00
"350030 Aguaí";58020,37;66721,68;63380,94;57386,91;74615,57;75964,84;71124,34;76610,40;73334,01;86132,98;76322,18;97438,78;72938,79;92896,60;89581,75;94279,17;18080,91;88854,98;98628,46;83549,79;61565,92;83208,92;72303,46;73083,72;77613,60;79298,97;85909,93;68350,14;73272,42;75251,05;85895,65;82123,87;90904,55;88931,89;65334,61;73262,47;68973,96;84848,28;89932,15;90444,51;87143,62;79399,51;94926,74;66892,96;54606,05;53372,50;58956,56;64811,75;63889,14;93679,72;80750,73;95368,56;80373,37;78157,37;72878,18;69523,69;50931,62;54953,57;59198,63;48576,86;38279,59;44091,65;48127,13;47501,55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4672764,57
"350050 Águas de Lindóia";36102,19;37923,01;49656,00;42259,47;41011,99;38578,69;41851,54;40900,94;45982,97;38528,27;14537,06;91895,29;57715,48;46076,82;55795,40;39604,92;52226,61;49138,65;44736,81;56286,67;56366,17;46579,30;51277,55;34815,96;50327,34;41848,82;39721,23;51585,49;92245,89;46191,39;58630,23;55396,95;61397,06;55200,68;54696,95;53903,15;43173,23;52552,36;55368,80;65641,85;53789,08;56030,31;49884,74;53950,02;56271,73;46747,73;51215,02;48179,51;44561,52;52618,22;49172,72;53222,68;49910,36;51126,56;51648,36;51366,21;51499,01;54297,03;54019,15;58378,79;51820,43;54838,98;52528,75;52839,01;55661,83;59867,62;59846,36;71835,75;62710,45;53800,97;55726,62;63273,44;47402,74;51478,38;51266,77;51112,04;48829,59;53358,74;55292,42;51632,25;52366,59;44238,44;51175,88;54277,78;50791,48;52605,06;48898,99;47074,04;54989,57;47498,61;54999,90;62071,75;56158,66;55570,17;57121,00;51576,13;49938,04;46914,14;52139,62;45180,11;61374,18;43113,19;49609,74;54104,60;40146,96;48178,80;51934,92;24316,28;56511,25;54554,67;48734,25;54849,12;56828,19;56140,68;70857,34;50233,98;52997,78;45364,89;48641,99;54514,95;51779,20;48465,83;57002,52;54813,10;46504,28;50834,39;56896,80;42492,29;47383,79;50158,27;45735,75;33151,29;46876,59;46014,34;46017,78;68488,27;42036,25;57269,93;49506,75;49900,58;41765,14;48641,75;41014,52;44252,96;44360,89;44850,57;57992,16;43714,55;42887,94;41258,59;26267,35;63379,16;58127,66;32970,32;24187,37;51543,40;44148,61;50603,08;30613,53;8013242,34
"350070 Agudos";41090,60;64239,26;74649,87;79860,83;83410,47;70155,23;78588,33;69980,90;67780,39;73860,42;61695,91;67206,25;54625,92;65081,84;75315,19;67465,61;83690,81;82786,62;87158,42;81814,08;77767,98;79027,83;87924,61;78286,43;76129,72;75959,03;77263,29;75588,70;71274,43;79680,65;78304,49;80005,81;77662,72;70055,76;59726,46;55915,06;66104,59;66947,74;69793,66;75235,01;82214,62;67523,97;70762,45;68858,43;55806,74;52929,70;67675,38;75852,22;42623,28;69989,48;67748,18;75270,80;74204,96;73883,65;51000,32;54064,88;68793,65;83522,77;69026,72;55474,69;62886,84;53259,44;63450,12;68120,23;72618,40;72180,13;63605,03;54515,15;62926,72;50586,94;55301,46;63275,73;46138,27;54728,12;73197,09;8986,89;75815,23;74139,66;54581,30;65796,72;62405,84;51322,91;51621,04;55312,28;62002,51;68187,92;64959,97;107992,14;72836,04;76156,43;80558,68;76772,72;73703,06;68905,21;69219,88;81546,13;69424,38;50871,30;71258,66;59657,54;60593,81;60644,02;71726,82;63434,78;59964,85;65922,47;55254,87;54593,41;58739,55;62057,85;58065,90;66255,58;74975,20;62564,23;71871,82;75949,00;61222,14;48762,50;72330,03;60513,40;44593,96;57088,85;54158,22;55971,87;55865,37;49930,33;60305,65;45552,19;32327,96;44694,88;243,03;37334,43;43728,60;51030,99;41376,46;45553,16;62811,64;42085,39;46989,95;47825,51;55988,31;46392,83;52338,37;49572,76;53529,19;51512,13;41154,78;43305,63;29216,32;31678,36;28363,12;36739,14;39942,84;35447,83;35411,20;30959,27;43152,69;33775,59;53310,41;9783863,36
"350100 Altinópolis";22628,13;22496,72;28627,14;23629,02;24447,18;26789,02;23883,73;22275,77;21824,34;22494,78;21865,19;16519,02;25975,92;19796,69;19745,50;24403,33;27434,90;26194,74;25536,13;24534,28;23419,54;24358,88;17893,79;25390,30;21944,12;18311,21;23386,40;19131,21;32591,44;20837,59;25558,58;31005,20;33122,28;30951,20;20842,76;40980,35;31625,55;24597,42;27419,25;27448,80;34396,13;17761,93;26395,62;40664,32;27472,06;19357,73;26765,12;35153,13;26841,92;18033,62;15038,08;15699,09;34940,79;32722,47;17947,80;32267,93;26327,39;28310,05;18306,66;43103,66;35138,79;27335,23;25529,40;18945,43;26836,16;26580,48;53305,78;33582,64;39022,44;28579,79;22065,00;32546,81;28477,83;21876,24;36619,89;37642,50;32308,39;34545,94;30775,58;40689,83;42036,92;51267,42;45059,76;43047,30;40505,41;33502,56;38821,21;35451,03;43808,01;56886,33;40033,45;42609,36;37032,63;40634,19;38131,17;38494,37;32403,32;33487,73;41793,35;41602,29;34337,10;36017,31;36652,31;36864,85;35678,36;34260,71;34348,94;34051,83;31006,34;32147,44;26615,64;33139,94;40053,06;30789,78;33964,26;33919,62;39451,93;47259,49;30594,92;37470,23;34088,86;29254,04;37680,99;33600,43;34469,36;39500,56;37881,16;33861,68;34403,93;28802,18;27801,74;16146,20;31298,83;23586,32;33036,86;28552,53;29115,55;24273,29;28132,36;29934,89;24362,64;27424,29;28744,22;20838,82;22739,04;25251,33;33242,87;18870,72;20036,82;20107,22;37415,00;27697,67;22793,21;22091,75;19874,08;21347,98;29713,97;32644,97;33494,84;4781172,12
"350110 Alto Alegre";-;3839,90;4552,90;8303,78;5065,45;2998,73;8468,65;4605,56;8399,12;3283,40;2805,10;4585,21;3942,71;5297,19;7396,06;4956,81;2346,58;2242,68;4631,94;4868,17;6989,26;5605,30;4687,74;1254,53;421,80;3906,50;6086,03;4725,62;4205,30;4070,35;4156,25;3739,66;3395,52;1890,46;4597,93;3699,90;2446,39;1400,83;3603,19;4069,83;699,46;582,42;292,62;2588,25;1459,39;185,83;1117,62;-;-;-;-;2777,86;672,11;779,72;-;2500,30;3363,35;3585,50;9972,02;3525,37;4006,11;5076,74;5417,37;218,48;3567,77;7294,60;10680,84;6004,39;5281,76;4598,66;891,02;1216,65;2116,41;2266,19;4541,87;3743,90;4263,78;5158,01;3781,11;3588,78;3771,81;4912,91;3064,63;729,40;2338,49;2801,42;5924,23;2690,65;5679,47;6613,10;9619,32;5365,27;6726,04;4610,26;5086,94;5839,72;2355,78;218,68;13612,09;7148,84;3629,36;6273,58;4670,33;6456,57;7129,54;802,61;2041,75;1755,92;2001,78;755,45;2793,74;175,97;1281,88;904,90;543,58;1012,61;626,64;497,12;582,42;1061,61;648,87;848,02;331,51;729,92;2353,74;1405,57;949,12;3397,93;1981,51;446,78;851,88;2417,66;906,12;2462,70;1679,13;2330,32;2623,37;2483,10;1312,65;3678,16;2360,85;1146,24;626,64;1910,77;1917,40;655,91;1717,67;766,06;926,34;-;61,00;278,84;810,28;1272,03;3230,54;765,78;1616,67;2387,48;14866,93;500620,49
"350130 Álvares Machado";23728,79;17654,02;21863,51;25791,80;22062,66;28656,96;24512,31;27068,15;30996,70;25324,74;26585,38;27844,31;28565,87;20731,49;29135,56;23560,85;22957,88;32936,62;48499,25;58687,46;35072,64;38586,73;30648,80;38040,95;30915,20;26712,59;36688,13;31722,82;30883,23;41503,11;33778,27;37611,69;47333,41;34898,05;35003,67;37037,66;31570,45;41090,93;33910,10;30191,18;37573,92;40409,85;48324,96;36581,09;33081,07;46485,02;41067,87;33963,04;33858,02;38859,97;26031,78;52321,88;48210,96;30073,19;26456,53;29398,38;33948,50;24367,74;34551,61;33665,26;34824,41;28437,53;40199,16;46979,58;42520,06;38388,64;41641,11;35663,52;29378,77;38201,57;15145,95;15372,71;-;-;-;-;-;8019,66;2721,28;9965,31;14323,68;9153,28;9964,86;13711,71;6607,51;18904,75;16793,14;22944,90;16521,35;14290,15;13556,14;19106,31;10707,74;7946,32;9651,18;14999,97;8728,43;13654,86;8976,85;8801,81;16152,92;12214,24;11664,01;12498,90;14476,13;14484,67;9553,17;12436,82;11688,00;11241,41;19974,10;11916,97;15927,01;16379,12;17065,31;20868,35;14155,61;12292,39;19149,16;14574,69;14610,12;10811,13;13949,62;14130,32;12161,14;11638,54;11262,15;9367,63;9294,75;13425,71;9059,36;14214,02;9250,80;7599,58;10853,03;17764,71;13470,80;11453,08;10053,49;11372,17;9180,44;8219,59;8728,09;9372,71;12116,99;10852,07;13536,80;9772,47;6146,79;8898,96;14721,15;6971,00;18324,92;18748,90;8345,74;22846,61;8736,67;7839,24;37242,66;3451455,69
"350160 Americana";305067,02;482058,87;543672,60;572936,92;554714,55;512039,48;495526,88;527283,76;520100,15;470655,69;472186,76;607296,13;585890,36;606424,64;851022,31;646622,47;629713,21;661325,17;703337,84;782288,32;783480,26;735307,93;581652,57;546308,07;618466,73;518669,53;708266,89;712844,30;701759,52;691266,02;709878,89;694968,91;776785,86;704376,51;745282,88;711061,58;763663,82;669968,44;743633,08;733039,00;707282,14;678859,89;698855,05;731769,26;714526,90;781647,95;743718,50;681166,19;687142,40;664822,09;685027,51;664152,89;735636,54;707703,78;703953,20;786335,89;724756,23;647381,38;778415,42;680809,23;719661,28;640479,94;692644,69;755738,52;777758,51;966443,69;849424,41;893534,53;1097748,97;774870,52;684183,63;649654,68;712392,61;703478,50;636517,60;829831,14;765229,12;800420,72;687579,38;732604,75;656678,79;694308,16;743466,96;539872,11;696530,26;662980,60;708427,13;675877,51;745019,98;678048,56;694542,24;608077,76;684347,51;622190,58;714016,45;587044,48;639896,99;628384,55;700925,35;649097,89;587842,97;675580,77;706108,12;614010,64;630629,69;504786,40;524747,27;583414,26;532498,06;465566,04;477298,15;545536,67;539114,43;406875,03;619186,09;550134,75;515287,99;514147,08;402447,59;534934,95;618227,44;635815,94;557938,55;577326,25;611727,78;593691,07;648614,02;621271,30;630665,29;570601,88;595499,27;702678,73;657376,94;622221,24;495792,29;757420,37;749818,26;683932,91;703567,70;761609,22;685590,17;698761,70;622932,58;478305,30;652318,63;788317,63;596503,29;743242,17;1033389,76;986449,79;865060,24;709382,91;976299,39;718756,47;698077,92;583715,69;817659,47;782459,32;1229942,10;106677845,34
"350170 Américo Brasiliense";109992,37;133170,32;126682,96;126848,36;133711,78;158546,61;161259,02;139239,29;109014,79;100704,22;101334,25;124887,19;133780,76;119922,34;173348,09;147602,05;189521,16;227277,24;232472,61;229314,20;228674,63;243278,75;226300,20;239893,99;223015,87;232518,80;282676,62;277828,27;301444,41;282350,61;262961,72;250859,24;242447,35;278096,05;259261,31;288678,15;318723,22;357351,90;349342,75;372729,75;367624,49;397002,58;348933,07;383229,49;380918,68;415562,37;357406,23;377922,16;361280,03;364878,50;421167,41;423971,47;450191,93;431634,11;469458,35;451093,08;406808,28;474334,11;417589,75;429601,78;412744,13;378104,21;410805,07;395170,55;410721,74;390553,97;434519,37;430103,96;413516,96;447052,40;490299,06;444120,17;542676,21;453909,59;498961,69;565241,89;645007,66;619091,83;592397,55;487333,01;559352,62;564364,54;572976,00;553834,30;502887,76;459363,52;680353,84;647128,51;573241,80;515592,49;448952,36;455243,82;566143,21;488378,57;441460,50;442206,11;498893,97;406949,02;502254,08;460465,81;568967,44;525948,44;468753,25;517340,09;554639,76;587036,03;533509,32;441041,40;542982,55;458361,82;560807,53;561279,21;563790,42;488520,27;738464,03;513842,53;456849,01;401430,23;362383,05;375546,50;509239,00;406074,81;584281,20;540680,98;511274,16;582316,43;600138,30;617897,44;577634,13;629704,45;805355,05;490246,71;596728,61;633637,32;653743,51;671749,30;690608,75;605487,03;619674,86;690829,96;627326,13;594548,81;573505,27;415705,49;609144,35;545925,14;528456,67;296892,35;358313,91;363413,30;494017,46;419877,36;486899,42;656018,56;597229,52;448759,86;520418,31;304205,32;181380,53;67690877,56
"350190 Amparo";380701,11;400012,61;391070,54;453216,53;472028,54;490489,91;470731,42;466945,83;423850,04;420865,49;414543,85;556246,91;536425,33;446294,48;440231,18;533075,81;512953,12;485037,59;553701,42;540881,44;528081,51;572337,69;615562,47;573612,88;570759,36;557734,40;592547,04;659737,57;555949,82;616112,45;583728,50;601877,29;606737,99;561925,95;673863,13;661406,64;661869,19;651477,45;551224,95;604972,71;605751,28;586271,58;549234,55;581807,74;582277,02;556251,32;573189,70;583743,63;577942,06;541761,48;542512,61;518360,29;415167,46;558322,53;593320,78;596461,93;570303,97;505958,05;372985,02;406120,61;448075,13;481336,52;413307,28;459642,62;457459,77;377564,57;456316,62;463485,23;507193,57;477073,68;449926,41;350372,80;455345,71;411917,73;451319,27;448019,03;424721,62;517268,65;520943,29;439237,23;548226,70;446993,29;420667,61;455447,96;407905,56;496583,66;470793,93;427219,00;535992,48;468575,07;479811,25;433683,34;494634,14;518452,53;428623,25;465864,33;432713,73;564910,62;405993,91;469065,27;453828,15;552415,97;511599,97;425851,85;590016,26;549460,53;522649,15;517562,15;540813,11;437501,57;508320,23;454446,68;492493,52;533137,89;519140,97;560088,83;526188,40;464623,75;509417,51;405873,90;407099,53;396983,02;578409,03;650263,98;569517,09;658407,85;658513,78;686685,38;730726,93;584070,97;624166,57;620080,20;641352,29;534953,26;609969,13;673573,87;703529,22;596320,27;730081,17;619672,98;691661,50;548391,52;588273,17;538508,47;702182,98;619807,74;651192,96;547786,74;574940,75;576061,48;664133,48;715500,51;1169264,37;1193940,34;728676,69;674721,93;713672,04;710881,95;1342732,95;86893388,59
