 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos, 093 Poliomielite(1º ref)
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";54,17;68,75;73,78;92,83;104,67;96,48;98,82;104,77;98,27;93,97;103,75;110,25;122,13;120,88;105,98;111,99;101,20;107,32;105,68;98,08;100,42;101,34;89,50;84,23;77,38;51,83;91,91
"12 Acre";24,31;45,84;61,34;78,74;71,71;76,77;92,64;113,91;122,35;131,65;111,35;94,05;94,66;116,33;94,64;110,91;104,03;111,03;96,07;87,75;68,80;70,34;65,01;68,26;67,99;45,34;82,32
"13 Amazonas";17,86;48,41;84,96;85,73;86,73;84,06;103,46;90,00;91,89;85,63;91,44;90,97;89,85;93,06;87,06;93,57;92,48;87,15;91,93;90,23;89,87;93,89;72,22;58,82;58,54;43,65;77,74
"14 Roraima";49,36;93,94;83,36;81,69;103,03;99,13;134,10;85,58;93,31;86,46;91,02;100,22;90,94;95,00;89,57;103,67;96,71;95,52;88,78;82,15;85,74;105,72;87,95;69,92;65,31;48,51;85,09
"15 Pará";38,36;45,48;47,88;49,71;83,76;86,14;109,25;107,74;118,45;118,52;124,94;123,42;116,22;111,15;109,56;106,11;103,38;101,54;97,78;93,46;76,75;65,44;53,18;57,88;53,99;34,93;80,72
"16 Amapá";...;59,74;71,93;86,57;76,07;85,72;91,16;155,06;94,27;98,44;104,02;99,70;94,36;98,82;97,10;126,11;90,75;84,58;92,67;90,29;76,88;82,77;38,50;47,08;53,69;41,47;79,63
"17 Tocantins";...;...;64,37;100,46;108,06;107,50;106,04;118,44;106,54;102,04;106,65;106,26;108,91;109,02;99,83;107,81;97,21;99,62;92,75;90,10;85,37;87,06;87,00;73,78;82,49;53,98;92,45
"21 Maranhão";34,81;43,91;38,44;62,35;64,78;68,41;80,98;96,45;96,78;99,51;108,34;112,95;114,26;118,59;108,01;112,14;106,62;102,93;97,54;100,71;87,13;88,57;63,19;63,76;64,50;40,63;80,53
"22 Piauí";53,33;65,31;64,35;62,77;83,15;94,71;99,34;106,39;106,35;103,72;106,00;102,53;107,62;108,31;100,04;103,42;97,02;98,47;93,91;91,10;78,18;70,99;68,76;75,37;68,46;46,71;83,79
"23 Ceará";94,18;106,37;103,09;109,36;90,05;104,02;101,39;112,59;103,92;98,78;115,84;110,62;109,21;108,98;105,37;105,70;101,03;100,00;97,79;102,60;102,31;109,41;98,12;77,86;80,76;49,50;97,20
"24 Rio Grande do Norte";69,70;73,06;66,30;75,44;73,31;79,87;86,79;91,46;94,42;97,37;98,65;98,43;102,95;99,01;92,36;95,99;96,67;96,88;93,98;91,33;90,84;90,14;65,76;61,99;73,53;40,28;81,92
"25 Paraíba";...;40,16;74,99;85,18;87,05;94,52;91,89;103,87;100,66;98,24;103,13;104,78;111,07;110,40;101,47;110,05;100,95;101,97;92,08;104,05;94,76;85,86;76,68;71,73;71,18;47,50;87,58
"26 Pernambuco";51,16;112,12;119,08;128,05;131,43;127,29;114,08;104,61;103,77;113,81;109,86;109,70;109,60;110,94;106,67;108,60;101,18;109,60;100,08;97,15;95,48;103,22;80,96;71,06;73,85;47,34;97,02
"27 Alagoas";...;54,07;40,02;50,12;60,33;85,32;94,25;86,47;98,48;100,75;104,98;103,22;103,88;94,38;90,87;106,07;100,47;90,61;90,22;89,66;89,33;87,62;77,82;68,01;70,67;43,97;80,68
"28 Sergipe";...;92,80;87,14;98,86;98,19;105,68;101,90;101,53;103,27;107,79;107,34;97,17;99,51;108,68;99,94;105,73;99,87;103,40;96,85;102,20;93,10;90,12;71,01;66,65;67,37;50,14;90,57
"29 Bahia";76,43;48,64;55,77;68,03;80,54;83,54;95,25;108,30;93,10;92,07;103,14;109,82;109,76;105,46;98,45;102,30;95,93;97,32;93,26;93,47;89,57;89,81;67,18;64,50;59,90;37,00;82,10
"31 Minas Gerais";...;...;...;76,28;82,20;93,10;106,70;99,22;91,01;87,11;103,49;105,86;105,99;105,58;99,56;105,19;100,41;103,22;98,61;101,11;93,44;90,97;89,43;78,32;75,90;47,95;89,99
"32 Espírito Santo";73,72;73,97;80,89;98,38;120,33;148,59;108,53;109,82;114,88;119,51;112,22;112,11;112,45;108,97;104,58;107,32;103,07;108,26;104,93;96,48;96,46;94,38;83,90;68,68;67,53;41,09;92,71
"33 Rio de Janeiro";...;90,96;76,30;98,15;102,14;101,67;93,98;94,07;111,61;111,46;108,27;118,98;103,95;112,08;108,31;109,39;106,87;112,15;96,87;90,69;92,01;97,36;77,22;69,34;60,83;24,69;88,50
"35 São Paulo";...;97,00;101,36;106,69;114,70;112,18;102,35;103,34;95,89;98,31;98,19;96,74;99,93;98,67;96,60;99,10;96,60;100,30;96,44;98,07;92,32;94,98;80,78;66,12;65,17;40,19;88,78
"41 Paraná";...;70,01;91,28;97,90;96,47;92,91;104,42;105,76;102,67;103,38;99,66;99,65;103,49;102,69;96,32;100,36;99,60;102,50;96,78;98,37;91,01;90,24;81,27;75,66;69,40;47,35;88,96
"42 Santa Catarina";87,00;97,47;83,81;94,32;88,54;92,97;102,57;105,67;99,10;101,54;100,27;101,37;101,03;104,07;96,82;102,55;98,82;101,18;99,97;94,51;92,78;92,90;89,69;73,64;69,83;47,42;88,73
"43 Rio Grande do Sul";...;96,69;79,90;91,24;87,38;94,68;97,37;98,15;93,52;96,20;95,04;97,64;99,10;99,89;93,33;95,28;92,34;95,07;89,40;89,50;87,82;81,98;87,16;65,45;62,14;40,69;83,87
"50 Mato Grosso do Sul";...;...;68,82;80,17;93,79;97,52;112,63;111,29;114,34;107,08;99,47;100,48;104,61;104,83;96,87;106,10;99,64;95,54;102,28;111,08;121,32;110,21;90,62;75,26;84,95;49,27;94,94
