 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Período:2009-2019
"Unidade da Federação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";83,87;79,26;92,75;85,82;76,72;98,18;111,27;63,77;80,74;82,45;51,44;81,10
"12 Acre";79,18;76,32;84,74;74,35;58,87;59,29;75,54;46,91;62,18;67,44;45,44;65,55
"13 Amazonas";78,63;73,30;80,09;79,18;67,06;77,14;94,95;48,27;65,33;69,82;49,97;69,73
"14 Roraima";80,21;75,19;84,42;73,13;60,70;82,30;105,27;57,41;74,26;78,76;48,04;73,27
"15 Pará";84,02;81,55;84,11;77,87;67,91;71,71;67,51;41,43;57,60;57,44;37,53;65,51
"16 Amapá";84,31;75,31;77,88;73,77;67,66;76,11;88,75;56,62;58,66;63,32;44,02;68,86
"17 Tocantins";81,54;75,12;87,78;76,34;72,78;85,09;92,37;60,94;81,70;82,32;57,59;76,91
"21 Maranhão";84,62;87,04;87,15;77,67;73,54;83,27;94,40;43,38;60,87;64,51;40,05;71,76
"22 Piauí";78,11;75,44;86,04;77,57;71,99;76,06;80,68;46,94;67,25;70,80;44,88;69,80
"23 Ceará";76,10;74,40;83,44;74,76;73,09;96,57;107,71;56,44;73,67;77,37;47,53;75,03
"24 Rio Grande do Norte";72,82;71,04;81,30;74,96;66,86;82,44;89,17;42,23;53,69;67,54;38,10;66,15
"25 Paraíba";76,88;77,15;82,82;70,88;71,43;83,53;86,34;50,10;66,15;69,43;43,87;70,33
"26 Pernambuco";78,11;74,95;88,72;78,44;71,80;86,44;101,09;51,43;65,20;70,43;44,91;72,47
"27 Alagoas";75,31;74,08;73,81;70,45;67,30;84,08;92,74;44,88;65,01;70,79;44,26;68,41
"28 Sergipe";76,07;76,12;83,94;74,33;74,76;86,11;91,00;47,05;63,49;68,76;46,21;70,68
"29 Bahia";76,77;75,41;84,73;77,33;72,29;83,78;93,06;44,35;63,11;63,50;38,68;69,36
"31 Minas Gerais";78,01;80,85;87,40;82,73;80,04;90,21;100,33;57,58;80,42;85,42;53,43;78,54
"32 Espírito Santo";75,93;74,74;88,35;79,71;72,30;90,98;98,39;51,19;66,35;74,22;48,72;72,84
"33 Rio de Janeiro";71,36;67,48;83,91;73,71;68,11;84,08;96,14;47,98;67,04;61,37;25,99;66,16
"35 São Paulo";72,49;70,36;84,96;77,28;73,37;88,20;98,63;45,94;67,29;71,52;46,18;70,48
"41 Paraná";76,66;75,22;89,97;79,48;77,59;86,95;96,41;55,32;77,66;81,79;58,11;76,39
"42 Santa Catarina";74,86;74,18;88,07;78,79;72,94;91,81;100,69;58,88;75,82;82,43;60,59;76,79
"43 Rio Grande do Sul";69,20;67,22;81,99;72,95;73,47;84,15;87,69;53,86;72,54;74,94;51,65;70,49
"50 Mato Grosso do Sul";78,53;75,77;89,37;83,46;81,81;110,11;113,07;63,55;78,81;83,52;52,21;81,36
"51 Mato Grosso";79,38;73,54;87,40;81,37;75,04;92,61;100,32;58,32;74,28;76,70;46,38;75,25
"52 Goiás";80,41;76,25;96,24;82,52;79,36;86,63;93,55;53,60;73,25;71,85;47,04;74,62
"53 Distrito Federal";90,75;80,07;67,70;64,84;85,83;89,33;71,55;75,28;73,82;73,85;49,58;74,80
"Total";76,22;74,38;85,31;77,32;73,29;86,31;95,07;50,44;69,04;71,99;45,65;71,85
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

