 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:2009-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";99,97;77,44;91,64;85,69;101,21;87,89;89,21;101,02;0,03;98,66;69,82;86,41;88,72;80,30;104,18;83,98;73,95;100,48;3,84;79,65;53,88;39,87;86,24
"12 Acre";101,04;60,09;71,82;66,91;80,56;64,19;64,09;86,12;1,87;75,29;47,95;58,36;61,40;61,16;87,88;54,17;48,82;79,76;4,94;60,67;28,64;20,42;66,04
"13 Amazonas";106,31;74,39;71,77;73,97;87,74;73,35;71,17;86,43;0,18;82,42;61,01;74,57;77,86;71,68;93,20;69,89;62,40;85,21;4,17;67,25;47,39;40,24;74,76
"14 Roraima";108,15;79,26;79,12;76,03;87,01;77,28;78,81;88,79;0,40;83,36;66,25;78,17;81,25;80,99;92,44;75,17;70,88;87,32;5,31;77,28;44,48;41,19;78,37
"15 Pará";101,15;60,20;70,29;65,26;80,49;60,53;60,49;82,29;0,03;76,23;47,04;61,69;64,88;57,58;89,89;51,81;45,06;78,37;3,29;57,81;29,93;20,42;64,43
"16 Amapá";107,21;73,20;74,83;72,17;81,41;66,74;67,15;79,95;10,81;75,07;57,51;65,53;68,95;52,12;88,69;66,67;60,47;80,49;4,82;62,23;44,45;31,16;70,05
"17 Tocantins";98,57;73,44;86,41;78,98;94,58;80,97;85,21;91,13;0,07;84,38;64,37;81,00;83,67;76,42;92,16;74,57;62,97;91,68;2,46;74,19;33,73;31,95;79,40
"21 Maranhão";106,00;68,56;77,41;70,27;88,86;71,01;67,77;90,30;1,17;85,33;53,78;69,72;72,30;68,03;96,33;57,88;39,62;86,65;4,33;67,67;41,04;31,94;71,54
"22 Piauí";92,00;66,79;81,09;76,66;87,69;70,55;73,16;85,02;0,29;81,34;57,55;75,72;78,23;66,88;89,09;63,70;32,63;85,64;2,84;68,06;34,65;26,38;71,24
"23 Ceará";102,81;74,72;95,10;84,26;100,64;87,97;87,94;100,20;0,60;0,33;71,61;94,31;95,14;88,94;107,66;85,99;57,05;98,37;2,62;83,81;64,58;46,78;80,18
